param set,Average Error,Average Epochs
param1,,
param2,,
param3,,
param4,0.00407380118855308,2266.6666666666665
param5,0.00171355759429140,2600.0
param6,0.00282469690886741,2100.0
param7,,
param8,,
param9,,
param0,0.00277420998980617,2350.0
param10,,
param11,,
param12,,
param13,0.00646585117227286,1600.0
param14,0.00471381931014951,2100.0
param15,0.00331641243567816,2100.0
param16,,
param17,,
param18,,
